x,y,z,
-141.246,-214.759,1.11076,
-13.6163,-211.348,-0.632948,
-39.4242,-200.506,-0.714811,
-117.903,-222.357,2.33957,
-10.091,-212.149,-0.602498,
-129.582,-218.136,1.00885,
-1.59571,-214.528,-0.540472,
-7.02808,-211.587,-0.602368,
-34.7909,-199.265,-0.740046,
1.44974,-214.682,-0.530662,
-118.274,-220.56,1.11513,
-30.8809,-200.098,-0.654091,
-16.5718,-205.449,-0.725856,
-22.6438,-202.732,-0.669026,
-7.39002,-209.162,-0.404782,
7.43152,-214.542,-0.547388,
22.5451,-220.113,-0.129925,
-118.639,-217.206,0.24142,
-10.3319,-205.202,-0.721325,
-130.427,-212.87,0.0227522,
-177.938,-190.459,0.498633,
-28.4537,-197.234,-0.617525,
-35.2694,-193.471,-0.41644,
-111.324,-217.208,0.0774168,
-181.511,-187.712,0.621576,
-10.1242,-202.861,-0.663902,
-15.8157,-199.721,-0.637449,
-21.8148,-197.051,-0.66014,
-184.59,-184.733,0.559295,
-105.645,-218.327,0.105893,
-19.5032,-196.205,-0.637623,
-180.786,-184.895,0.16345,
-102.896,-217.971,0.0505566,
-15.3895,-197.444,-0.634302,
-179.503,-185.297,0.0773845,
-85.5996,-223.261,1.29621,
-20.0675,-193.608,-0.348449,
-10.6543,-196.268,-0.576269,
-88.4987,-220.352,0.249241,
-198.275,-172.646,2.07143,
-197.085,-116.348,-0.859814,
-84.6934,-219.885,0.134672,
-90.3716,-218.868,0.0659811,
-201.13,-168.192,2.10035,
11.4446,-203.409,-0.781773,
-192.499,-172.736,0.221741,
-0.813248,-196.778,-0.485739,
-197.086,-113.259,-0.885445,
-191.116,-172.772,0.0804751,
-195.581,-170.059,0.282167,
-201.512,-165.775,1.35799,
4.82591,-195.682,-0.51713,
-198.406,-167.264,0.424776,
-197.099,-110.16,-0.92101,
-201.135,-107.142,-0.890355,
22.3777,-202.755,-0.795604,
-192.84,-109.938,-0.922978,
-61.6499,-222.868,1.11698,
3.582,-194.117,-0.342029,
-72.6295,-218.886,0.010185,
35.146,-205.595,-0.789547,
-64.718,-220.199,0.200858,
22.4708,-199.656,-0.833726,
16.9734,-195.344,-0.8479,
10.4765,-194.243,-0.307093,
-66.325,-218.819,0.0310361,
41.4225,-204.897,-0.843038,
12.1932,-194.423,-0.375066,
-201.74,-101.694,-0.862221,
22.9984,-196.438,-0.886055,
-55.5711,-220.586,0.124969,
31.22,-199.149,-0.822287,
25.509,-196.355,-0.867438,
19.0217,-194.509,-0.525323,
35.2008,-200.719,-0.828551,
29.5589,-197.899,-0.831627,
-208.609,-94.7781,-0.310816,
-202.511,-154.545,0.134083,
31.8973,-195.511,-0.87523,
25.4095,-194.642,-0.526321,
-200.798,-155.861,0.0214118,
-37.0725,-222.275,0.603716,
-210.404,-149.506,2.34277,
-202.817,-152.828,0.0664629,
-209.06,-148.967,0.95248,
-210.318,-88.4047,-0.0383268,
-37.6031,-221.07,0.0833226,
-210.924,-145.553,1.28993,
-199.188,-92.1708,-0.903439,
-206.253,-89.2228,-0.507452,
-191.792,-94.3746,-0.803611,
-206.365,-86.4377,-0.46549,
-43.7187,-199.166,-0.751898,
-43.5958,-202.644,-0.721833,
1.28481,-220.629,-0.174188,
-191.295,-146.812,-0.788808,
-18.2158,-207.14,-0.749505,
